baidu_id,metroman_code,chelaile_code,english_name,simplified_name
131,bj,027,beijing,北京
289,sh,034,shanghai,上海
257,gz,040,guangzhou,广州
340,sz,014,shenzhen,深圳
2912,hk,085,hong kong,香港
9002,tb,-1,taipei,台北
315,nj,018,nanjing,南京
132,cq,003,chongqing,重庆
218,wh,000,wuhan,武汉
75,cd,007,chengdu,成都
332,tj,006,tianjin,天津
167,dl,060,dalian,大连
224,su,011,suzhou,苏州
179,hz,004,hangzhou,杭州
268,zz,010,zhengzhou,郑州
233,xa,076,xi'an,西安
104,km,081,kunming,昆明
180,nb,045,ningbo,宁波
158,cs,066,changsha,长沙
53,cc,061,changchun,长春
127,hf,005,hefei,合肥
317,wx,054,wuxi,无锡
58,sy,035,shenyang,沈阳
261,nn,046,nanning,南宁
163,nc,022,nanchang,南昌
236,qd,009,qingdao,青岛
17,gx,n/a,guangxi,广西
119,dg,008,dongguan,东莞
150,sj,053,shijiazhuang,石家庄
194,xm,036,xiamen,厦门
226,fz,047,fuzhou,福州
48,hb,096,harbin,哈尔滨
146,gy,083,guiyang,贵阳
92,wl,001,urumqi,乌鲁木齐
178,wz,048,wenzhou,温州
288,jn,041,jinan,济南
36,lz,017,lanzhou,兰州
348,cz,058,changzhou,常州
316,xz,057,xuzhou,徐州
2911,am,n/a,macau,澳门
321,hh,049,hohhot,呼和浩特
265,tc,056,tangshan,唐山
176,ty,020,taiyuan,太原
153,ly,101,luoyang,洛阳
129,wu,296,wuhu,芜湖
333,jh,187,jinhua,金华
161,nt,055,nantong,南通
276,tz,068,taizhou,台州
39,hh,563,heihe,黑河
